iter	Passed	Remaining
171	396	1907
172	397	1900
173	398	1893
174	400	1886
175	401	1879
176	402	1873
177	404	1866
178	405	1859
179	407	1854
180	407	1844
181	408	1838
182	410	1831
183	411	1824
184	412	1818
185	414	1811
186	415	1805
187	416	1799
188	417	1793
189	419	1787
190	420	1781
191	421	1775
192	423	1769
193	424	1763
194	425	1758
195	427	1752
196	428	1746
197	429	1740
198	430	1734
199	432	1729
200	433	1723
201	434	1718
202	436	1712
203	437	1706
204	438	1701
205	439	1695
206	441	1690
207	442	1685
208	443	1679
209	445	1674
210	446	1668
211	447	1663
212	448	1658
213	450	1653
214	451	1649
215	453	1644
216	454	1639
217	455	1634
218	456	1629
219	458	1624
220	459	1619
221	460	1614
222	461	1609
223	463	1604
224	464	1600
225	465	1595
226	467	1590
227	468	1586
228	469	1581
229	471	1577
230	472	1572
231	473	1568
232	474	1563
233	476	1558
234	477	1555
235	479	1552
236	481	1548
237	482	1544
238	483	1540
239	484	1535
240	486	1530
241	487	1526
242	488	1522
243	489	1518
244	491	1513
245	492	1509
246	493	1505
247	495	1502
248	496	1498
249	497	1493
250	499	1489
251	500	1485
252	501	1481
253	503	1477
254	504	1473
255	505	1470
256	507	1467
257	509	1464
258	510	1460
259	511	1456
260	513	1452
261	514	1448
262	515	1444
263	516	1441
264	518	1437
265	519	1433
266	520	1429
267	522	1425
268	523	1421
269	524	1418
270	525	1414
271	527	1410
272	528	1407
273	529	1403
274	531	1399
275	532	1396
276	533	1392
277	534	1389
278	536	1385
279	537	1382
280	538	1378
281	540	1376
282	541	1372
283	543	1368
284	544	1365
285	545	1361
286	546	1358
287	548	1355
288	549	1352
289	551	1349
290	552	1345
291	553	1342
292	555	1339
293	556	1335
294	557	1332
295	558	1328
296	560	1325
297	561	1322
298	562	1319
299	564	1316
300	565	1312
301	566	1309
302	567	1306
303	569	1302
304	570	1300
305	571	1296
306	573	1293
307	574	1290
308	575	1287
309	576	1284
310	578	1281
311	579	1277
312	580	1274
313	582	1271
314	583	1268
315	584	1266
316	586	1263
317	587	1260
318	589	1257
319	590	1254
320	592	1252
321	593	1249
322	594	1246
323	596	1244
324	597	1241
325	599	1240
326	601	1237
327	602	1234
328	604	1232
329	606	1231
330	607	1228
331	609	1225
332	610	1222
333	611	1219
334	613	1217
335	615	1215
336	616	1212
337	617	1210
338	619	1207
339	620	1204
340	621	1201
341	622	1198
342	624	1195
343	625	1193
344	627	1190
345	628	1187
346	629	1185
347	631	1183
348	632	1180
349	634	1177
350	635	1174
351	636	1172
352	638	1169
353	639	1166
354	640	1164
355	641	1161
356	643	1158
357	644	1156
358	646	1153
359	647	1151
360	649	1149
361	650	1146
362	651	1143
363	652	1140
364	654	1138
365	655	1135
366	656	1132
367	658	1131
368	660	1129
369	662	1128
370	664	1126
371	665	1123
372	666	1121
373	668	1118
374	669	1116
375	671	1113
376	672	1111
377	674	1109
378	675	1107
379	676	1104
380	678	1101
381	679	1099
382	681	1097
383	682	1094
384	683	1091
385	684	1089
386	685	1086
387	687	1084
388	688	1081
389	691	1081
390	692	1079
391	694	1076
392	695	1073
393	696	1071
394	697	1068
395	699	1066
396	700	1063
397	702	1062
398	703	1059
399	705	1057
400	706	1055
401	707	1052
402	709	1050
403	710	1047
404	711	1045
405	713	1043
406	714	1041
407	716	1038
408	717	1036
409	719	1034
410	720	1032
411	721	1030
412	723	1027
413	724	1025
414	725	1023
415	727	1020
416	728	1018
417	729	1015
418	731	1013
419	732	1011
420	733	1009
421	735	1006
422	736	1004
423	737	1002
424	739	999
425	740	997
426	741	995
427	742	992
428	744	990
429	746	989
430	747	987
431	750	986
432	752	984
433	753	983
434	755	981
435	757	979
436	758	976
437	759	974
438	761	972
439	762	970
440	764	968
441	765	966
442	766	963
443	767	961
444	769	959
445	770	957
446	771	954
447	773	952
448	774	950
449	775	948
450	777	945
451	778	943
452	779	941
453	780	939
454	782	936
455	783	934
456	784	932
457	785	930
458	787	927
459	788	925
